"filename","transcript"
"0.ogg","Startup sound"
"1.ogg","Waiting for the network configuration."
"2.ogg","Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later."
"3.ogg","Unable to connect to the server. Please check your local network and try again later."
"4.ogg","Robot has exited network configuration mode."
"5.ogg","Network connected successfully."
"6.ogg","Network connection failed. Please try again later."
"7.ogg","Start cleaning."
"8.ogg","Start spot cleaning."
"9.ogg","Start scheduled cleaning."
"10.ogg","Start resuming cleaning."
"11.ogg","Paused."
"12.ogg","Cleaning task completed!"
"13.ogg","Returning to the dock to charge."
"14.ogg","Low battery. Returning to the dock to charge. Robot will resume working after charging."
"17.ogg","Please move the robot back to the base station."
"18.ogg","Returned to the base station."
"19.ogg","Please remove the robot from the base station before turning it off."
"20.ogg","Low battery."
"21.ogg","Low battery robot will turn off."
"22.ogg","Please move robot to an area that needs to be cleaned."
"23.ogg","Water tank has been installed."
"24.ogg","Please check whether water tank is installed properly."
"25.ogg","Low battery. Unable to carry out the scheduled clean-up."
"26.ogg","Restoring to factory settings."
"27.ogg","Updating, taking about five minutes. Do not turn off nor start a cleaning task."
"28.ogg","Updated successfully."
"29.ogg","Update failed. Please try again later."
"30.ogg","Positioning, please wait."
"31.ogg","Positioning failed. Map is invalid. Robot will start a new clean-up."
"33.ogg","Visual navigation sensor error. Please wipe it clean and restart."
"34.ogg","Dustbin not installed. Please install it."
"35.ogg","Main brush error. Please check and clean it."
"36.ogg","Side brush error. Please check and clean it."
"37.ogg","Right wheel error. Please check and clean it."
"38.ogg","Left wheel error. Please check and clean it."
"39.ogg","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again."
"40.ogg","The robot is trapped. Please clear the obstacles around it."
"41.ogg","Wheels are not in contact with the ground. Please reposition the robot and start it again."
"42.ogg","Please check and clean filter."
"43.ogg","Bumper error. Please gently tap to see if it rebounds."
"44.ogg","Error. Please check the user manual or contact customer service."
"45.ogg","I am here."
"46.ogg","Robot and phone connected. Please return to app to wait for the result."
"47.ogg","Start charging."
"48.ogg","Low battery. Returning to the dock."
"49.ogg","High intensity magnetic field detected. Please move robot away and restart."
"50.ogg","Charging error. Please clean charging contacts."
"51.ogg","Battery overheating or overcooling. Please wait until the battery's temperature returns to normal, then continue to use."
"52.ogg","Robot tilted. Please put it on a level ground to restart."
"53.ogg","Virtual no-go zone detected. Please move robot away and restart."
"54.ogg","Positioning succeeded. Resuming cleaning."
"55.ogg","Positioning succeeded. Resuming returning to the dock."
"56.ogg","Start selected room cleaning."
"57.ogg","Start zoned cleaning."
"58.ogg","Proceed with cleaning task."
