"filename","transcript"
"0.ogg","Son de démarrage"
"1.ogg","En attente de la configuration du réseau."
"2.ogg","Impossible de se connecter au réseau Wi-Fi. Veuillez vérifier le mot de passe du Wi-Fi et réessayer plus tard."
"3.ogg","Impossible de se connecter au serveur. Veuillez vérifier votre réseau local et réessayer plus tard."
"4.ogg","Le robot a quitté le mode de configuration du réseau."
"5.ogg","Réseau connecté avec succès."
"6.ogg","Échec de la connexion au réseau. Veuillez réessayer plus tard."
"7.ogg","Début du nettoyage."
"8.ogg","Début du nettoyage localisé."
"9.ogg","Début du nettoyage programmé."
"10.ogg","Reprise du nettoyage."
"11.ogg","En pause."
"12.ogg","Tâche de nettoyage terminée !"
"13.ogg","Retour à la station de charge."
"14.ogg","Batterie faible. Retour à la station de charge. Le robot reprendra le travail après la recharge."
"17.ogg","Veuillez replacer le robot sure sa station de base."
"18.ogg","De retour à la station de base."
"19.ogg","Veuillez retirer le robot de la station de base avant de l'éteindre."
"20.ogg","Batterie faible."
"21.ogg","Batterie faible, le robot va s'éteindre."
"22.ogg","Veuillez déplacer le robot vers une zone à nettoyer."
"23.ogg","Le réservoir d'eau a été installé."
"24.ogg","Veuillez vérifier si le réservoir d'eau est correctement installé."
"25.ogg","Batterie faible. Impossible d'effectuer le nettoyage programmé."
"26.ogg","Restoration des paramètres d'usine."
"27.ogg","Mise à jour en course, cela prendra environ cinq minutes. N'éteignez pas l'apparel et ne lancez pas de tâche de nettoyage."
"28.ogg","Mise à jour réussie."
"29.ogg","Échec de la mise à jour. Veuillez réessayer plus tard."
"30.ogg","Localisation en course, veuillez patienter."
"31.ogg","Échec de la localisation. La carte est invalid. Le robot va commencer un nouveau nettoyage."
"33.ogg","Erreur du capteur de navigation visuelle. Veuillez le nettoyer et redémarrer."
"34.ogg","Bac à poussière non installé. Veuillez l'installer."
"35.ogg","Erreur de la brosse principale. Veuillez la vérifier et la nettoyer."
"36.ogg","Erreur de la brosse latérale. Veuillez la vérifier et la nettoyer."
"37.ogg","Erreur de la roue droite. Veuillez la vérifier et la nettoyer."
"38.ogg","Erreur de la roue gauche. Veuillez la vérifier et la nettoyer."
"39.ogg","Les roues ne sont pas en contact avec le sol. Veuillez nettoyer les captures de vide, repositionner le robot et le redémarrer."
"40.ogg","Le robot est coincé. Veuillez dégager les obstacles autour de lui."
"41.ogg","Les roues ne sont pas en contact avec le sol. Veuillez repositionner le robot et le redémarrer."
"42.ogg","Veuillez vérifier et nettoyer le filtre."
"43.ogg","Erreur du pare-chocs. Veuillez taper doucement dessus pour voir s'il revient en place."
"44.ogg","Erreur. Veuillez consulter le manuel d'utilisation ou contacter le service client."
"45.ogg","Je suis ici."
"46.ogg","Robot et téléphone connectés. Veuillez retourner sure l'application pour attendre le résultat."
"47.ogg","Début de la charge."
"48.ogg","Batterie faible. Retour à la station de charge."
"49.ogg","Champ magnétique de haute intensité détecté. Veuillez éloigner le robot et le redémarrer."
"50.ogg","Erreur de charge. Veuillez nettoyer les contacts de charge."
"51.ogg","Surchauffe ou refroidissement excessif de la batterie. Veuillez attendre que la température de la batterie revienne à la normal avant de continuer."
"52.ogg","Robot incliné. Veuillez le placer sure un sol plat pour le redémarrer."
"53.ogg","Zone interdite virtuelle détectée. Veuillez éloigner le robot et le redémarrer."
"54.ogg","Localisation réussie. Reprise du nettoyage."
"55.ogg","Localisation réussie. Reprise du retour à la station de charge."
"56.ogg","Début du nettoyage de la pièce sélectionnée."
"57.ogg","Début du nettoyage de la zone."
"58.ogg","Poursuite de la tâche de nettoyage."
"59.ogg","Cartographie terminée. Veuillez retirer le réservoir d'eau rapidement."
